Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (MS),Droprate (%),Number of packets,Number of bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,,CPU utilization,Memory bytes,Disk bytes,
1617065856.466412,1617065856.476155,1188,9.742975234985352,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065856.49828,1617065856.507188,1189,8.90803337097168,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065856.528125,1617065856.536967,1190,8.841991424560547,10,9,7436,8,5,5119,1921,,0.0,0,0,
1617065856.558832,1617065856.566938,1191,8.105993270874023,10,9,7434,8,5,5117,1921,,0.0,0,0,
1617065856.589098,1617065856.59908,1192,9.982109069824219,10,9,7429,8,5,5112,1921,,0.0,0,0,
1617065856.622072,1617065856.631103,1193,9.031057357788086,10,9,7427,8,5,5110,1921,,0.0,0,0,
1617065856.652035,1617065856.661086,1194,9.051084518432617,10,9,7428,8,5,5111,1921,,0.0,0,0,
1617065856.681933,1617065856.690531,1195,8.598089218139648,10,9,7425,8,5,5108,1921,,0.0,0,0,
1617065856.713092,1617065856.721877,1196,8.785009384155273,10,9,7431,8,5,5114,1921,,0.0,0,0,
1617065856.743992,1617065856.752448,1197,8.455991744995117,10,9,7427,8,5,5110,1921,,0.0,0,0,
1617065856.774496,1617065856.783487,1198,8.991003036499023,10,9,7435,8,5,5118,1921,,0.0,0,0,
1617065856.804574,1617065856.813617,1199,9.042978286743164,10,9,7426,8,5,5109,1921,,0.0,0,0,
1617065856.837218,1617065856.845869,1200,8.651018142700195,10,9,7432,8,5,5115,1921,,0.0,0,0,
1617065856.86481,1617065856.874028,1201,9.217977523803711,10,8,7346,8,4,5114,1880,,0.0,0,0,
1617065857.04536,1617065857.054663,1202,9.302854537963867,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065857.076188,1617065857.099998,1203,23.80990982055664,10,9,6607,8,5,4290,1921,,0.0,0,0,
1617065857.121667,1617065857.129699,1204,8.032083511352539,10,9,7430,8,5,5113,1921,,0.0,0,0,
1617065857.151074,1617065857.158931,1205,7.857084274291992,10,9,7430,8,5,5113,1921,,0.0,0,0,
